"","pert","perc","gali","lap2","eute"
"Amauria_brandeegeana_62",11.76222,10.44335,7.7165,13.4273,12.96951
"Amauria_carterae_99_mesa",13.40754,9.21452,6.77138,11.00339,10.93619
"Amauria_rotundifolia_SRR9119150",11.27653,11.05176,7.19144,12.18117,10.83986
"Conoclinium_coelestinum_SRR9119114",7.65825,6.57358,5.40488,6.61655,7.37208
"Eutetras_palmeri_63",4.19187,5.40627,3.43412,4.14421,58.8422
"Eutetras_pringlei_149_quer",9.29852,4.84741,3.28946,4.8207,25.49428
"Eutrochium_fistulosum_SRR9119106",9.81493,9.227,5.54786,9.13658,10.50597
"Galeana_pratensis_104_mex",10.88951,7.16457,4.63734,7.48563,8.06372
"Helianthus_annuus_SRR9119062",7.82146,5.16542,4.74637,5.3051,6.37575
"Lycapsus_tenuifolius_17",11.53456,10.91367,8.85957,12.74954,12.12189
"Pericome_caudata_50_silver",3.08947,66.99527,2.33248,3.0663,3.56521
"Perityle_aglossa_84_dead_horse",6.64809,6.27759,6.66383,37.71119,6.65801
"Perityle_ajoensis_204",6.16896,5.70738,6.1194,40.35068,7.37475
"Perityle_ambrosiifolia_67_green",3.93229,3.39446,3.60438,55.92632,4.25054
"Perityle_angustifolia_13_Eagle_creek",8.52477,5.04924,5.51787,29.93881,6.97962
"Perityle_batopilensis_97",6.91313,7.64628,9.67532,29.01221,9.25752
"Perityle_bisetosa_9",7.10813,5.54155,6.97819,37.22187,8.33878
"Perityle_californica_76_positas",39.07516,3.24386,2.6409,3.34498,3.06794
"Perityle_canescens_77",9.67206,6.90432,19.62584,12.15421,9.19739
"Perityle_carmenensis_122_Spellenberg9960",NA,NA,NA,NA,NA
"Perityle_castillonii_96",7.14159,5.63946,6.18802,37.09324,8.21024
"Perityle_cernua_84",7.86416,5.73161,6.47337,35.56424,8.41851
"Perityle_cfvillosa_25_tin",6.4601,6.66182,6.58869,37.99646,6.31549
"Perityle_cinerea_113_Powell1310",8.29891,4.22808,4.5031,16.77307,5.25655
"Perityle_coahuilensis_24",4.54282,5.35199,6.13434,48.15,6.05534
"Perityle_cochisensis_44_cave_creek",9.667,5.98154,5.30581,30.86624,6.5338
"Perityle_congesta_202",5.66563,6.0754,6.12966,42.87211,7.28596
"Perityle_cordifolia_27",5.96007,8.17523,8.86804,32.06613,8.53759
"Perityle_cordifolia_68_tecolote",5.95921,9.09759,9.98971,26.47899,7.67427
"Perityle_coronopifolia_28_patagonia",7.02796,7.4885,18.05903,12.05833,7.02118
"Perityle_crassifolia_70_ventanas",14.01411,8.49771,6.71615,9.61785,8.62301
"Perityle_crassifolia_74_playa_balandra",14.36127,8.28769,5.90124,8.5285,8.05025
"Perityle_cuneata_34_cuneata_San_antonio",27.20719,7.48747,5.72818,8.05223,6.72548
"Perityle_cuneata_4",16.88749,10.00549,9.18954,10.28219,11.07631
"Perityle_discoidea_81",12.50194,10.28317,7.66838,12.29765,12.29548
"Perityle_dissecta_201",6.15431,5.76385,6.2039,40.67789,7.3387
"Perityle_emoryi_47_punta_san_jose",9.8776,9.33784,8.79788,16.36333,9.56606
"Perityle_feddemae_99",9.22594,7.76385,18.80455,11.91358,9.0903
"Perityle_fosteri_93",6.22673,6.29781,7.1137,40.61367,8.53141
"Perityle_gamon_221",9.80527,7.83062,20.5406,11.57279,8.72732
"Perityle_gentryi_8_san_francisco",7.0743,7.54381,9.24629,25.49277,8.43772
"Perityle_gilensis_22_Superstition",7.52793,5.00196,4.53817,40.29768,6.62557
"Perityle_gilensis_salensis_225",5.42306,5.56208,5.56805,46.05735,6.52782
"Perityle_glaucescens_94",9.22152,8.26499,20.17417,13.14357,9.24441
"Perityle_gracilis_11",6.42213,5.85636,6.43479,40.56683,8.35042
"Perityle_harkerae_31",8.05695,7.44091,16.89295,12.00641,8.94716
"Perityle_hofmeisteria_4_nombre_de_dios",6.71241,8.76811,22.69012,11.90468,7.55298
"Perityle_huecosensis_48",7.28918,5.7291,7.02468,39.43048,7.5165
"Perityle_incana_3_ucla",15.02088,7.44003,11.8644,15.44175,9.44789
"Perityle_intricata_59_Clark_mtns",5.98517,7.11503,5.99067,41.80968,6.16354
"Perityle_inyoensis_9_pleasant",5.8305,6.38035,6.23736,39.439,6.8868
"Perityle_jaliscana_203",9.33347,7.5375,18.05436,12.00231,9.39527
"Perityle_lemmonii_12",7.39639,5.2272,5.71167,41.49918,7.85505
"Perityle_lemmonii_85_hachita",5.06013,5.30401,5.61014,34.79851,6.58413
"Perityle_lemmonii_colossal_cave_206",6.05998,5.22423,6.00399,42.84541,7.03051
"Perityle_leptoglossa_20_rancho_las_laminas",7.36357,7.42941,8.4928,27.2129,8.38112
"Perityle_lindheimeri_34",7.92718,5.74866,6.50955,39.20427,8.30274
"Perityle_lineariloba_78",8.99165,7.28054,19.53125,12.16755,9.70474
"Perityle_lloydii_79",11.20313,6.40797,9.05962,23.17381,9.29464
"Perityle_lobata_119_mesa_tinajas",11.08747,7.09584,6.93086,23.51444,8.44346
"Perityle_megalocephala_19_meg_Echo",6.8066,6.08094,6.10695,37.20411,6.72583
"Perityle_megalocephala_29_tin_mountain",5.60723,5.94656,6.06814,39.98077,5.86831
"Perityle_microglossa_73_tecolote",9.08184,7.22154,17.83239,11.48002,7.49276
"Perityle_microglossa_83_isla_venados",11.76895,5.97841,12.35186,8.83678,6.38537
"Perityle_montana_80",11.12515,7.24492,14.94503,12.2561,8.90305
"Perityle_palmeri_21_rancho_nuevo",10.1952,6.99517,5.88118,17.8255,6.73211
"Perityle_parryi_80_lower_window",5.6681,7.15042,7.58151,39.32873,6.39593
"Perityle_pseudociliata_140",7.99492,7.47428,18.52945,12.2552,8.38284
"Perityle_reinana_7_mazatan",8.38193,6.17961,6.97109,22.99466,7.95836
"Perityle_rosei_74",9.74845,16.7279,6.77685,9.83215,12.87481
"Perityle_rosei_jalisco_223",7.50929,18.70586,8.3673,10.89398,11.57578
"Perityle_rupestris_10_rupestris_davis",10.60049,5.0371,5.32583,21.34644,6.15328
"Perityle_rupestris_30_albiflora_chisos",6.08277,5.31602,6.26669,34.61102,7.39983
"Perityle_saxicola_224",4.63484,5.05577,5.40399,46.98168,6.24928
"Perityle_socorrensis_san_benedicto_213",13.82388,10.3596,8.38357,11.13551,11.37181
"Perityle_specuicola_41_negro_bill_canyon",5.55045,5.96795,5.91633,37.44915,6.15718
"Perityle_stansburyi_42_rock_spring",6.53511,5.67879,6.28314,36.62032,7.26577
"Perityle_staurophylla_42",6.41267,5.64162,6.28206,40.82443,8.13112
"Perityle_tenella_86_Beaver_dam",9.89346,5.32488,4.62974,25.98417,6.55908
"Perityle_trichodonta_bolanos_208",8.34415,17.70297,7.80898,10.58073,12.23492
"Perityle_turneri_33_Mexiquilla",2.69561,2.44963,60.15762,3.62647,2.25536
"Perityle_vandevenderi_117_sierra_cucurpe",6.62965,5.93354,6.51525,33.83184,6.13849
"Perityle_vaseyi_ernst_209",6.63918,6.36709,6.32656,38.43039,8.02639
"Perityle_vigilans_109",9.90382,6.0193,12.32003,9.28696,6.04651
"Perityle_villosa_45_Hanuapah_cyn",5.8269,6.14455,6.77517,39.40385,6.37183
"Perityle_yellow_87",17.79436,9.4984,8.29961,15.47918,9.33495
